,Quarter,Time,Tm,Detail,IND,MIA
0,1.0,,Colts,Cary Blanchard 48 yard field goal,3,0
1,1.0,,Dolphins,O.J. McDuffie 12 yard pass from Dan Marino (Joe Nedney kick),3,7
2,2.0,,Dolphins,Karim Abdul-Jabbar 1 yard rush (Joe Nedney kick),3,14
3,2.0,,Dolphins,Fred Barnett 15 yard pass from Dan Marino (Joe Nedney kick),3,21
4,2.0,,Colts,Cary Blanchard 22 yard field goal,6,21
5,3.0,,Dolphins,"Safety, Harbaugh intentional grounding in end zone",6,23
6,3.0,,Dolphins,Fred Barnett 12 yard pass from Dan Marino (Joe Nedney kick),6,30
7,3.0,,Dolphins,Karim Abdul-Jabbar 3 yard rush (Joe Nedney kick),6,37
8,4.0,,Colts,Sean Dawkins 16 yard pass from Paul Justin (Cary Blanchard kick),13,37
