,Quarter,Tm,Detail,NYG,SFO
0,1.0,49ers,Charle Young 8 yard pass from Joe Montana (Ray Wersching kick),0,7
1,1.0,Giants,Earnest Gray 72 yard pass from Scott Brunner (Joe Danelo kick),7,7
2,2.0,49ers,Ray Wersching 22 yard field goal,7,10
3,2.0,49ers,Freddie Solomon 58 yard pass from Joe Montana (Ray Wersching kick),7,17
4,2.0,49ers,Ricky Patton 25 yard rush (Ray Wersching kick),7,24
5,2.0,Giants,Joe Danelo 48 yard field goal,10,24
6,3.0,Giants,Johnny Perkins 59 yard pass from Scott Brunner (Joe Danelo kick),17,24
7,4.0,49ers,Bill Ring 3 yard rush (Ray Wersching kick),17,31
8,4.0,49ers,Ronnie Lott 20 yard interception return (Ray Wersching kick),17,38
9,4.0,Giants,Johnny Perkins 17 yard pass from Scott Brunner (Joe Danelo kick),24,38
