,Quarter,Tm,Detail,BAL,DEN
0,1.0,Broncos,Rick Upchurch 41 yard pass from Craig Morton (Jim Turner kick),0,7
1,2.0,Broncos,Jack Dolbin 19 yard pass from Craig Morton (Jim Turner kick),0,14
2,2.0,Colts,Toni Linhart 40 yard field goal,3,14
3,3.0,Colts,Toni Linhart 43 yard field goal,6,14
4,3.0,Colts,Lydell Mitchell 15 yard pass from Bert Jones (Toni Linhart kick),13,14
5,4.0,Broncos,Tom Jackson 73 yard interception return (Jim Turner kick),13,21
6,4.0,Broncos,Craig Morton 6 yard rush,13,27
