,Quarter,Time,Tm,Detail,STL,MIA
0,1.0,12:25,Rams,Greg Zuerlein 48 yard field goal,3,0
1,1.0,5:08,Rams,Greg Zuerlein 32 yard field goal,6,0
2,2.0,5:27,Dolphins,Marlon Moore 29 yard pass from Ryan Tannehill (Dan Carpenter kick),6,7
3,2.0,4:19,Dolphins,Dan Carpenter 42 yard field goal,6,10
4,3.0,9:40,Dolphins,Anthony Fasano 1 yard pass from Ryan Tannehill (Dan Carpenter kick),6,17
5,4.0,8:30,Rams,Sam Bradford 1 yard rush (Steven Jackson pass from Sam Bradford ),14,17
