,Quarter,Tm,Detail,WAS,RAM
0,1.0,Rams,Bob Klein 10 yard pass from James Harris (David Ray kick),0,7
1,1.0,Redskins,Mike Bragg 35 yard field goal,3,7
2,2.0,Redskins,Moses Denson 1 yard rush (Mike Bragg kick),10,7
3,3.0,Rams,David Ray 37 yard field goal,10,10
4,4.0,Rams,David Ray 26 yard field goal,10,13
5,4.0,Rams,Isiah Robertson 59 yard interception return (pass failed),10,19
