,Quarter,Time,Tm,Detail,STL,DET
0,1.0,6:58,Rams,"Safety, Fletcher tackled Hill in end zone",2,0
1,2.0,14:19,Lions,Germane Crowell 4 yard pass from Charlie Batch (Jason Hanson kick),2,7
2,2.0,11:32,Rams,Jeff Robinson 6 yard pass from Kurt Warner (Jeff Wilkins kick),9,7
3,2.0,6:51,Lions,Jason Hanson 29 yard field goal,9,10
4,2.0,0:41,Rams,Jeff Wilkins 34 yard field goal,12,10
5,3.0,9:20,Lions,Cory Schlesinger 3 yard pass from Gus Frerotte (Germane Crowell pass from Gus Frerotte),12,18
6,3.0,4:49,Lions,Jason Hanson 43 yard field goal,12,21
7,4.0,10:06,Rams,Az-Zahir Hakim 75 yard pass from Kurt Warner (Jeff Wilkins kick),19,21
8,4.0,6:10,Lions,Jason Hanson 44 yard field goal,19,24
9,4.0,2:42,Rams,Ryan Tucker 2 yard pass from Kurt Warner (Isaac Bruce pass from Kurt Warner),27,24
10,4.0,0:28,Lions,Johnnie Morton 12 yard pass from Gus Frerotte (Jason Hanson kick),27,31
