,Quarter,Time,Tm,Detail,TEN,BAL
0,1.0,5:04,Ravens,Matt Stover 21 yard field goal,0,3
1,2.0,10:44,Ravens,Matt Stover 38 yard field goal,0,6
2,2.0,0:44,Titans,Rodney Thomas 9 yard pass from Steve McNair (Al Del Greco kick),7,6
3,3.0,13:22,Titans,Randall Godfrey 24 yard interception return (Al Del Greco kick),14,6
