,Quarter,Tm,Detail,GNB,CHI
0,1.0,Bears,Mirro Roder 23 yard field goal,0,3
1,1.0,Bears,Charlie Wade 57 yard pass from Gary Huff (Mirro Roder kick),0,10
2,3.0,Packers,Chester Marcol 34 yard field goal,3,10
3,3.0,Packers,Chester Marcol 33 yard field goal,6,10
4,4.0,Packers,Chester Marcol 36 yard field goal,9,10
