,Quarter,Time,Tm,Detail,PIT,PHI
0,1.0,2:51,Steelers,Jeff Reed 37 yard field goal,3,0
1,2.0,9:23,Eagles,Correll Buckhalter 20 yard pass from Donovan McNabb (David Akers kick),3,7
2,2.0,2:36,Eagles,David Akers 31 yard field goal,3,10
3,2.0,0:13,Steelers,Jeff Reed 53 yard field goal,6,10
4,4.0,8:00,Eagles,"Safety, Ben Roethlisberger called for Intentional Grounding in the endzone",6,12
5,4.0,2:26,Eagles,David Akers 31 yard field goal,6,15
