,Quarter,Tm,Detail,CHI,CLE
0,1.0,Browns,Don Cockroft 23 yard field goal,0,3
1,2.0,Browns,Reggie Rucker 4 yard pass from Brian Sipe (Don Cockroft kick),0,10
2,3.0,Browns,Don Cockroft 42 yard field goal,0,13
3,3.0,Bears,Vince Evans 7 yard rush (Bob Thomas kick),7,13
4,4.0,Browns,Mike Pruitt 1 yard rush (Don Cockroft kick),7,20
5,4.0,Bears,Brian Baschnagel 17 yard pass from Vince Evans (Bob Thomas kick),14,20
6,4.0,Browns,Mike Pruitt 56 yard rush (Don Cockroft kick),14,27
7,4.0,Bears,Robin Earl 6 yard pass from Vince Evans (Bob Thomas kick),21,27
