,Quarter,Tm,Detail,MIA,IND
0,1.0,Dolphins,Lorenzo Hampton 1 yard rush (Fuad Reveiz kick),7,0
1,1.0,Colts,Randy McMillan 14 yard rush (Dean Biasucci kick),7,7
2,2.0,Dolphins,Fuad Reveiz 29 yard field goal,10,7
3,2.0,Dolphins,Mark Duper 7 yard pass from Dan Marino (Fuad Reveiz kick),17,7
4,2.0,Colts,Dean Biasucci 39 yard field goal,17,10
5,4.0,Colts,Dean Biasucci 45 yard field goal,17,13
