,Quarter,Tm,Detail,PHI,DAL
0,1.0,Cowboys,Danny White 1 yard rush (Rafael Septien kick),0,7
1,2.0,Cowboys,Tony Hill 36 yard pass from Danny White (Rafael Septien kick),0,14
2,2.0,Cowboys,Preston Pearson 9 yard pass from Danny White (Rafael Septien kick),0,21
3,3.0,Eagles,Louie Giammona 1 yard rush (Tony Franklin kick),7,21
4,3.0,Cowboys,Drew Pearson 11 yard pass from Danny White (Rafael Septien kick),7,28
5,3.0,Eagles,Tony Franklin 29 yard field goal,10,28
6,4.0,Cowboys,Billy Joe DuPree 15 yard pass from Danny White (Rafael Septien kick),10,35
7,4.0,Eagles,Rodney Parker 30 yard pass from Ron Jaworski (Tony Franklin kick),17,35
8,4.0,Eagles,Tony Franklin 19 yard field goal,20,35
9,4.0,Eagles,Wilbert Montgomery 6 yard rush (Tony Franklin kick),27,35
