,Quarter,Time,Tm,Detail,GNB,DET
0,1.0,8:07,Lions,David Blough 19 yard pass from Danny Amendola (Matt Prater kick),0,7
1,2.0,3:17,Lions,Kerryon Johnson 1 yard rush (Matt Prater kick),0,14
2,2.0,0:24,Packers,Mason Crosby 32 yard field goal,3,14
3,2.0,0:03,Lions,Matt Prater 42 yard field goal,3,17
4,3.0,3:16,Packers,Davante Adams 20 yard pass from Aaron Rodgers (Mason Crosby kick),10,17
5,4.0,12:11,Packers,Mason Crosby 40 yard field goal,13,17
6,4.0,11:13,Lions,Matt Prater 56 yard field goal,13,20
7,4.0,5:24,Packers,Allen Lazard 28 yard pass from Aaron Rodgers (Mason Crosby kick),20,20
8,4.0,0:03,Packers,Mason Crosby 33 yard field goal,23,20
