,Quarter,Tm,Detail,NYJ,BUF
0,2.0,Jets,David Knight 20 yard pass from Richard Todd (Pat Leahy kick),7,0
1,2.0,Jets,Steve Poole 7 yard blocked punt return,13,0
2,2.0,Jets,Pat Leahy 20 yard field goal,16,0
3,3.0,Bills,Bob Chandler 11 yard pass from Gary Marangi (George Jakowenko kick),16,7
4,3.0,Bills,Bob Chandler 9 yard pass from Gary Marangi (George Jakowenko kick),16,14
5,4.0,Jets,Pat Leahy 35 yard field goal,19,14
