,Quarter,Tm,Detail,STL,MIN
0,2.0,Cardinals,Earl Thomas 13 yard pass from Jim Hart (Jim Bakken kick),7,0
1,2.0,Vikings,John Gilliam 16 yard pass from Fran Tarkenton (Fred Cox kick),7,7
2,3.0,Vikings,Fred Cox 37 yard field goal,7,10
3,3.0,Vikings,Nate Wright 20 yard defensive fumble return (Fred Cox kick),7,17
4,3.0,Vikings,John Gilliam 38 yard pass from Fran Tarkenton,7,23
5,4.0,Vikings,Chuck Foreman 4 yard rush (Fred Cox kick),7,30
6,4.0,Cardinals,Terry Metcalf 11 yard rush (Jim Bakken kick),14,30
