,Quarter,Tm,Detail,BUF,WAS
0,1.0,Redskins,Chip Lohmiller 37 yard field goal,0,3
1,2.0,Redskins,Chip Lohmiller 24 yard field goal,0,6
2,2.0,Redskins,Chip Lohmiller 19 yard field goal,0,9
3,3.0,Bills,Kenneth Davis 13 yard pass from Gale Gilbert (Scott Norwood kick),7,9
4,3.0,Redskins,Chip Lohmiller 43 yard field goal,7,12
5,4.0,Redskins,Chip Lohmiller 32 yard field goal,7,15
6,4.0,Redskins,Gerald Riggs 3 yard rush (Chip Lohmiller kick),7,22
7,4.0,Redskins,Stephen Hobbs 18 yard pass from Mark Rypien (Chip Lohmiller kick),7,29
8,4.0,Bills,Steve Tasker 20 yard pass from Gale Gilbert (Scott Norwood kick),14,29
