,Quarter,Tm,Detail,WAS,ATL
0,1.0,Falcons,Haskel Stanback 1 yard rush (Tim Mazzetti kick),0,7
1,2.0,Redskins,John Riggins 1 yard rush (Mark Moseley kick),7,7
2,2.0,Redskins,Mark Moseley 21 yard field goal,10,7
3,2.0,Falcons,Tim Mazzetti 21 yard field goal,10,10
4,3.0,Falcons,Bubba Bean 1 yard rush (Tim Mazzetti kick),10,17
5,4.0,Redskins,Mike Thomas 1 yard rush (Mark Moseley kick),17,17
6,4.0,Falcons,Tim Mazzetti 32 yard field goal,17,20
