,Quarter,Time,Tm,Detail,ARI,SEA
0,1.0,8:45,Seahawks,Stephen Hauschka 27 yard field goal,0,3
1,2.0,12:52,Seahawks,Stephen Hauschka 32 yard field goal,0,6
2,2.0,10:09,Seahawks,Stephen Hauschka 52 yard field goal,0,9
3,2.0,0:14,Cardinals,Chandler Catanzaro 23 yard field goal,3,9
4,3.0,8:34,Seahawks,Stephen Hauschka 40 yard field goal,3,12
5,3.0,0:52,Seahawks,Cooper Helfet 20 yard pass from Russell Wilson (Stephen Hauschka kick),3,19
