,Quarter,Tm,Detail,BUF,GNB
0,1.0,Bills,Ahmad Rashad 9 yard pass from Joe Ferguson (John Leypoldt kick),7,0
1,2.0,Bills,Jim Braxton 1 yard rush,13,0
2,3.0,Bills,Jim Braxton 1 yard rush (John Leypoldt kick),20,0
3,4.0,Packers,MacArthur Lane 3 yard rush (Chester Marcol kick),20,7
4,4.0,Bills,Jim Braxton 2 yard rush (John Leypoldt kick),27,7
