,Quarter,Tm,Detail,KAN,OAK
0,1.0,Chiefs,Gary Spani 16 yard defensive fumble return (Nick Lowery kick),7,0
1,1.0,Chiefs,Ted McKnight 2 yard rush (Nick Lowery kick),14,0
2,2.0,Chiefs,Nick Lowery 35 yard field goal,17,0
3,2.0,Chiefs,Arnold Morgado 1 yard rush (Nick Lowery kick),24,0
4,2.0,Chiefs,Whitney Paul 32 yard defensive fumble return (Nick Lowery kick),31,0
5,2.0,Raiders,Chris Bahr 39 yard field goal,31,3
6,4.0,Raiders,Cliff Branch 10 yard pass from Jim Plunkett (Chris Bahr kick),31,10
7,4.0,Raiders,Bob Chandler 6 yard pass from Jim Plunkett (Chris Bahr kick),31,17
