,Quarter,Time,Tm,Detail,BAL,CLE
0,2.0,11:58,Browns,Demetrius Harris 1 yard pass from Baker Mayfield (Austin Seibert kick failed),0,6
1,2.0,1:24,Ravens,Mark Andrews 39 yard pass from Lamar Jackson (Justin Tucker kick),7,6
2,2.0,0:15,Ravens,Mark Andrews 14 yard pass from Lamar Jackson (Justin Tucker kick),14,6
3,3.0,7:42,Ravens,Mark Ingram 12 yard pass from Lamar Jackson (Justin Tucker kick),21,6
4,3.0,3:29,Browns,Austin Seibert 47 yard field goal,21,9
5,4.0,11:36,Ravens,Justin Tucker 31 yard field goal,24,9
6,4.0,8:05,Browns,Odell Beckham Jr. 3 yard pass from Baker Mayfield (pass failed),24,15
7,4.0,3:45,Ravens,Justice Hill 18 yard rush (Justin Tucker kick),31,15
