,Quarter,Tm,Detail,CIN,PIT
0,1.0,Steelers,Gary Anderson 31 yard field goal,0,3
1,2.0,Steelers,Rich Erenberg 10 yard pass from Mark Malone (Gary Anderson kick),0,10
2,2.0,Bengals,Jim Breech 19 yard field goal,3,10
3,2.0,Steelers,Weegie Thompson 9 yard pass from Mark Malone (Gary Anderson kick),3,17
4,3.0,Steelers,Gary Anderson 43 yard field goal,3,20
5,3.0,Steelers,Gary Anderson 41 yard field goal,3,23
6,3.0,Bengals,Jim Breech 40 yard field goal,6,23
7,4.0,Steelers,Earnest Jackson 1 yard rush (Gary Anderson kick),6,30
8,4.0,Bengals,Jim Breech 31 yard field goal,9,30
