,Quarter,Time,Tm,Detail,CAR,PHI
0,1.0,,Eagles,Ricky Watters 3 yard rush (Gary Anderson kick),0,7
1,2.0,,Eagles,Jason Dunn 9 yard pass from Ty Detmer (Gary Anderson kick),0,14
2,2.0,,Panthers,John Kasay 47 yard field goal,3,14
3,3.0,,Eagles,Gary Anderson 46 yard field goal,3,17
4,3.0,,Panthers,John Kasay 39 yard field goal,6,17
5,3.0,,Panthers,John Kasay 29 yard field goal,9,17
6,4.0,,Eagles,Gary Anderson 21 yard field goal,9,20
