,Quarter,Tm,Detail,SEA,NYJ
0,1,Seahawks,Don Testerman 18 yard pass from Jim Zorn (John Leypoldt kick),7,0
1,3,Seahawks,David Sims 9 yard pass from Jim Zorn (John Leypoldt kick),14,0
2,4,Seahawks,John Leypoldt 33 yard field goal,17,0
