,Quarter,Tm,Detail,SDG,MIN
0,1.0,Chargers,Marion Butts 3 yard rush (John Carney kick),7,0
1,2.0,Chargers,John Carney 36 yard field goal,10,0
2,2.0,Vikings,Fuad Reveiz 20 yard field goal,10,3
3,3.0,Chargers,Anthony Miller 66 yard pass from John Friesz,16,3
4,3.0,Vikings,Anthony Carter 9 yard pass from Sean Salisbury (Fuad Reveiz kick),16,10
5,3.0,Vikings,Barry Word 1 yard rush (Fuad Reveiz kick),16,17
6,4.0,Chargers,Natrone Means 7 yard rush (John Carney kick),23,17
7,4.0,Chargers,Shawn Jefferson 18 yard pass from John Friesz (John Carney kick),30,17
