,Quarter,Tm,Detail,WAS,DET
0,2.0,Lions,Wayne Rasmussen 50 yard interception return (Wayne Walker kick),0,7
1,3.0,Lions,Joe Don Looney 4 yard rush (Wayne Walker kick),0,14
2,4.0,Redskins,Jim Shorter 54 yard defensive fumble return (Bob Jencks kick),7,14
3,4.0,Redskins,Bob Jencks 34 yard field goal,10,14
