,Quarter,Time,Tm,Detail,MIN,GNB
0,1.0,,Packers,Edgar Bennett 5 yard rush (Chris Jacke kick),0,7
1,1.0,,Vikings,Cris Carter 43 yard pass from Brad Johnson (Scott Sisson kick),7,7
2,2.0,,Packers,Chris Jacke 35 yard field goal,7,10
3,2.0,,Vikings,Scott Sisson 34 yard field goal,10,10
4,3.0,,Packers,Dorsey Levens 13 yard pass from Brett Favre (Chris Jacke kick),10,17
5,3.0,,Packers,Andre Rison 22 yard pass from Brett Favre (Chris Jacke kick),10,24
6,4.0,4:38,Packers,Keith Jackson 23 yard pass from Brett Favre (Chris Jacke kick),10,31
7,4.0,4:38,Packers,Dorsey Levens 11 yard rush (Chris Jacke kick),10,38
