,Quarter,Time,Tm,Detail,HOU,CIN
0,1.0,,Oilers,Chris Sanders 58 yard pass from Chris Chandler (Al Del Greco kick),7,0
1,1.0,,Oilers,Haywood Jeffires 23 yard pass from Chris Chandler (Al Del Greco kick),14,0
2,2.0,,Bengals,Harold Green 23 yard rush (Doug Pelfrey kick),14,7
3,2.0,,Oilers,Rodney Thomas 8 yard pass from Chris Chandler (Al Del Greco kick),21,7
4,2.0,,Bengals,Carl Pickens 8 yard pass from Jeff Blake (Doug Pelfrey kick),21,14
5,2.0,,Oilers,Chris Sanders 46 yard pass from Chris Chandler (Al Del Greco kick),28,14
6,3.0,,Bengals,Darnay Scott 51 yard pass from Jeff Blake (Doug Pelfrey kick),28,21
7,3.0,,Oilers,Rodney Thomas 1 yard rush (Al Del Greco kick),35,21
8,3.0,,Oilers,Al Del Greco 41 yard field goal,38,21
9,4.0,,Bengals,Tony McGee 1 yard pass from Jeff Blake (Doug Pelfrey kick),38,28
