,Quarter,Tm,Detail,PHI,NOR
0,1.0,Saints,Tinker Owens 47 yard pass from Archie Manning (Rich Szaro kick),0,7
1,2.0,Eagles,Keith Krepfle 20 yard pass from Ron Jaworski (Nick Mike-Mayer kick),7,7
2,3.0,Eagles,Harold Carmichael 5 yard pass from Ron Jaworski (Nick Mike-Mayer kick),14,7
3,3.0,Eagles,Nick Mike-Mayer 21 yard field goal,17,7
4,3.0,Saints,Tony Galbreath 9 yard rush (Rich Szaro kick),17,14
5,4.0,Eagles,Harold Carmichael 16 yard pass from Ron Jaworski (Nick Mike-Mayer kick),24,14
6,4.0,Saints,Rich Szaro 21 yard field goal,24,17
