,Quarter,Tm,Detail,PHI,BKN
0,2.0,Eagles,Bill Hewitt 9 yard pass from Dave Smukler (Dave Smukler kick),7,0
1,2.0,Dodgers,Joe Maniaci 23 yard field goal,7,3
2,3.0,Dodgers,Joe Maniaci 71 yard rush (Joe Maniaci kick),7,10
3,4.0,Eagles,Dave Smukler 1 yard rush (Dave Smukler kick),14,10
