,Quarter,Tm,Detail,MIN,BAL
0,3.0,Colts,Lou Michaels 35 yard field goal,0,3
1,3.0,Colts,Lenny Moore 74 yard pass from Johnny Unitas (Lou Michaels kick),0,10
2,3.0,Vikings,Hal Bedsole 16 yard pass from Fran Tarkenton (Fred Cox kick),7,10
3,4.0,Vikings,Tommy Mason 21 yard rush (Fred Cox kick),14,10
4,4.0,Colts,Alex Hawkins 27 yard pass from Johnny Unitas (Lou Michaels kick),14,17
