,Quarter,Tm,Detail,DAL,IND
0,1.0,Cowboys,Daryl Johnston 1 yard pass from Troy Aikman (Eddie Murray kick),7,0
1,1.0,Cowboys,Emmitt Smith 20 yard rush (Eddie Murray kick),14,0
2,2.0,Colts,Dean Biasucci 27 yard field goal,14,3
3,3.0,Cowboys,Jay Novacek 2 yard rush (Eddie Murray kick),21,3
4,4.0,Cowboys,Eddie Murray 30 yard field goal,24,3
5,4.0,Cowboys,Eddie Murray 32 yard field goal,27,3
