,Quarter,Tm,Detail,DET,GNB
0,1.0,Packers,Darrell Thompson 1 yard rush (Chris Jacke kick),0,7
1,1.0,Packers,Sterling Sharpe 65 yard pass from Brett Favre (Chris Jacke kick),0,14
2,2.0,Packers,Harry Sydney 9 yard pass from Brett Favre (Chris Jacke kick),0,21
3,2.0,Packers,Tony Bennett 18 yard defensive fumble return (Chris Jacke kick),0,28
4,2.0,Lions,Herman Moore 11 yard pass from Andre Ware (Jason Hanson kick),7,28
5,2.0,Packers,Sterling Sharpe 9 yard pass from Brett Favre (Chris Jacke kick),7,35
6,2.0,Lions,Jason Hanson 44 yard field goal,10,35
7,4.0,Packers,Chris Jacke 46 yard field goal,10,38
