,Quarter,Tm,Detail,WAS,CLE
0,2.0,Redskins,Jim Martin 30 yard field goal,3,0
1,2.0,Browns,Ernie Green 21 yard rush (Lou Groza kick),3,7
2,2.0,Browns,Lou Groza 11 yard field goal,3,10
3,2.0,Browns,Lou Groza 38 yard field goal,3,13
4,3.0,Browns,Gary Collins 13 yard pass from Jim Brown (Lou Groza kick),3,20
5,3.0,Redskins,Bobby Mitchell 14 yard pass from Sonny Jurgensen (Jim Martin kick),10,20
6,3.0,Browns,Paul Warfield 62 yard pass from Frank Ryan (Lou Groza kick),10,27
7,4.0,Redskins,Charley Taylor 10 yard pass from Sonny Jurgensen (Jim Martin kick),17,27
8,4.0,Browns,Jim Brown 2 yard rush (Lou Groza kick),17,34
9,4.0,Redskins,Bobby Mitchell 14 yard pass from Sonny Jurgensen (Jim Martin kick),24,34
