,Quarter,Tm,Detail,SDG,SEA
0,1.0,Chargers,Chuck Muncie 1 yard rush (Rolf Benirschke kick),7,0
1,2.0,Seahawks,Efren Herrera 25 yard field goal,7,3
2,2.0,Seahawks,Theotis Brown 2 yard rush (Efren Herrera kick),7,10
3,2.0,Seahawks,Sherman Smith 18 yard pass from Jim Zorn (Efren Herrera kick),7,17
4,2.0,Chargers,Chuck Muncie 73 yard rush (Rolf Benirschke kick),14,17
5,2.0,Seahawks,Theotis Brown 1 yard rush (Efren Herrera kick),14,24
6,2.0,Chargers,Rolf Benirschke 32 yard field goal,17,24
7,3.0,Seahawks,Dan Doornink 80 yard pass from Jim Zorn (Efren Herrera kick),17,31
8,3.0,Seahawks,Dan Doornink 3 yard rush (Efren Herrera kick),17,38
9,4.0,Seahawks,Efren Herrera 30 yard field goal,17,41
10,4.0,Chargers,Wes Chandler 22 yard pass from Dan Fouts,23,41
11,4.0,Seahawks,Efren Herrera 23 yard field goal,23,44
