,Quarter,Tm,Detail,RCH,DET
0,1.0,Panthers,Dutch Marion 15 yard rush (Gus Sonnenberg kick),0,7
1,4.0,Panthers,Jimmy Conzelman 48 yard pass from Dick Vick,0,13
2,4.0,Panthers,Dutch Marion 15 yard rush (Gus Sonnenberg kick),0,20
