,Quarter,Tm,Detail,BRL,NYG
0,1,Giants,Jack McBride 2 yard rush (Jack McBride kick),0,7
1,2,Giants,Jack McBride 25 yard rush (Jack McBride kick),0,14
2,3,Giants,Cowboy Hill 1 yard rush (Mike Palm kick failed),0,20
3,4,Giants,Mike Palm 1 yard rush (Jack McBride kick),0,27
