,Quarter,Time,Tm,Detail,SDG,PIT
0,1.0,,Steelers,Norm Johnson 49 yard field goal,0,3
1,1.0,,Steelers,Norm Johnson 39 yard field goal,0,6
2,2.0,,Steelers,Andre Hastings 11 yard pass from Mike Tomczak (Norm Johnson kick),0,13
3,3.0,,Chargers,John Carney 25 yard field goal,3,13
4,4.0,,Steelers,Norm Johnson 21 yard field goal,3,16
