,Quarter,Tm,Detail,NYJ,BAL
0,1.0,Jets,Pat Leahy 23 yard field goal,3,0
1,1.0,Jets,Wesley Walker 77 yard pass from Matt Robinson (Pat Leahy kick),10,0
2,2.0,Jets,Kevin Long 10 yard rush (Pat Leahy kick),17,0
3,2.0,Jets,Pat Leahy 19 yard field goal,20,0
4,3.0,Colts,Toni Linhart 27 yard field goal,20,3
5,4.0,Jets,Pat Leahy 30 yard field goal,23,3
6,4.0,Colts,Don McCauley 3 yard rush (Toni Linhart kick),23,10
7,4.0,Jets,Pat Leahy 26 yard field goal,26,10
8,4.0,Jets,Mickey Shuler 3 yard pass from Matt Robinson (Pat Leahy kick),33,10
