,Quarter,Tm,Detail,SDG,RAI
0,1.0,Raiders,Vance Mueller 26 yard pass from Jay Schroeder (Jeff Jaeger kick),0,7
1,1.0,Chargers,Marion Butts 50 yard rush (Chris Bahr kick),7,7
2,2.0,Raiders,Mervyn Fernandez 4 yard pass from Steve Beuerlein (Jeff Jaeger kick),7,14
3,2.0,Raiders,Marcus Allen 1 yard rush (Jeff Jaeger kick),7,21
4,3.0,Raiders,Willie Gault 39 yard pass from Steve Beuerlein (Jeff Jaeger kick),7,28
5,3.0,Chargers,Marion Butts 1 yard rush (Chris Bahr kick),14,28
6,4.0,Raiders,Jeff Jaeger 22 yard field goal,14,31
7,4.0,Raiders,"Safety, Floyd tackled in end zone",14,33
8,4.0,Raiders,Vance Mueller 1 yard rush (Jeff Jaeger kick),14,40
