,Quarter,Tm,Detail,CLE,GNB
0,1.0,Packers,John Jefferson 18 yard pass from Lynn Dickey (Jan Stenerud kick),0,7
1,1.0,Browns,Bob Golic 7 yard interception return (Matt Bahr kick),7,7
2,2.0,Packers,Paul Coffman 4 yard pass from Lynn Dickey (Jan Stenerud kick),7,14
3,2.0,Packers,Gary Lewis 10 yard pass from Lynn Dickey (Jan Stenerud kick),7,21
4,3.0,Packers,Gerry Ellis 2 yard pass from Lynn Dickey (Jan Stenerud kick),7,28
5,4.0,Browns,Bobby Jones 20 yard pass from Brian Sipe (Matt Bahr kick),14,28
6,4.0,Browns,Dwight Walker 19 yard pass from Brian Sipe (Matt Bahr kick),21,28
7,4.0,Packers,Gerry Ellis 25 yard rush (Jan Stenerud kick),21,35
