,Quarter,Time,Tm,Detail,WAS,DEN
0,2.0,,Broncos,Jason Elam 20 yard field goal,0,3
1,2.0,,Redskins,Brian Mitchell 36 yard rush (Eddie Murray kick),7,3
2,2.0,,Broncos,Rod Bernstine 1 yard rush (Jason Elam kick),7,10
3,2.0,,Broncos,Terrell Davis 8 yard pass from John Elway (Jason Elam kick),7,17
4,2.0,,Broncos,Terrell Davis 6 yard rush (Jason Elam kick),7,24
5,2.0,,Redskins,Marc Logan 5 yard pass from Gus Frerotte (Eddie Murray kick),14,24
6,3.0,,Redskins,Leslie Shepherd 7 yard pass from Gus Frerotte (Eddie Murray kick),21,24
7,3.0,,Redskins,Eddie Murray 21 yard field goal,24,24
8,4.0,,Broncos,Terrell Davis 1 yard rush (Jason Elam kick),24,31
9,4.0,,Redskins,Scott Galbraith 1 yard pass from Gus Frerotte (Eddie Murray kick),31,31
10,4.0,,Broncos,Rod Smith 43 yard pass from John Elway (Jason Elam kick),31,38
