,Quarter,Time,Tm,Detail,BUF,MIA
0,1.0,5:00,Bills,Reggie Gilliam 1 yard pass from Josh Allen (Tyler Bass kick),7,0
1,1.0,0:41,Dolphins,DeVante Parker 2 yard pass from Ryan Fitzpatrick (Jason Sanders kick),7,7
2,2.0,11:46,Bills,Stefon Diggs 22 yard pass from Josh Allen (Tyler Bass kick),14,7
3,2.0,2:34,Bills,Tyler Bass 39 yard field goal,17,7
4,2.0,0:07,Dolphins,Jason Sanders 52 yard field goal,17,10
5,3.0,11:23,Dolphins,Jason Sanders 45 yard field goal,17,13
6,4.0,10:15,Dolphins,Jordan Howard 2 yard rush (Jason Sanders kick),17,20
7,4.0,6:03,Bills,Gabriel Davis 6 yard pass from Josh Allen (Tyler Bass kick),24,20
8,4.0,3:17,Bills,John Brown 46 yard pass from Josh Allen (Tyler Bass kick),31,20
9,4.0,0:54,Dolphins,Mike Gesicki 8 yard pass from Ryan Fitzpatrick (Preston Williams pass from Ryan Fitzpatrick),31,28
