,Quarter,Time,Tm,Detail,STL,OAK
0,2.0,,Rams,Amp Lee 13 yard pass from Tony Banks (Jeff Wilkins kick),7,0
1,2.0,,Rams,Aaron Laing 3 yard pass from Tony Banks (Jeff Wilkins kick),14,0
2,2.0,,Raiders,James Jett 8 yard pass from Jeff George (Cole Ford kick),14,7
3,2.0,,Raiders,Rickey Dudley 34 yard pass from Jeff George,14,13
4,3.0,,Raiders,James Jett 14 yard pass from Jeff George (Harvey Williams pass from Jeff George),14,21
5,3.0,,Raiders,Napoleon Kaufman 1 yard rush (Cole Ford kick),14,28
6,4.0,,Rams,Jeff Wilkins 38 yard field goal,17,28
7,4.0,,Raiders,Rickey Dudley 5 yard pass from Jeff George (Cole Ford kick),17,35
