,Quarter,Tm,Detail,CHI,PHI
0,2.0,Bears,Red Pollock 15 yard rush (Jack Manders kick),7,0
1,2.0,Bears,Luke Johnsos 22 yard pass from Keith Molesworth (Jack Manders kick),14,0
2,2.0,Bears,Red Pollock 6 yard rush,20,0
3,2.0,Bears,Red Pollock 8 yard rush (Jack Manders kick),27,0
4,3.0,Bears,Eddie Kawal 13 yard interception return,33,0
5,4.0,Bears,Gene Ronzani unknown yard touchdown on a lateral,39,0
