,Quarter,Tm,Detail,OAK,KAN
0,1.0,Chiefs,Nick Lowery 52 yard field goal,0,3
1,2.0,Chiefs,Billy Jackson 4 yard rush (Nick Lowery kick),0,10
2,3.0,Chiefs,Nick Lowery 25 yard field goal,0,13
3,3.0,Chiefs,Henry Marshall 4 yard pass from Bill Kenney (Nick Lowery kick),0,20
4,4.0,Chiefs,J.T. Smith 9 yard pass from Bill Kenney (Nick Lowery kick),0,27
