,Quarter,Time,Tm,Detail,SEA,WAS
0,1.0,,Redskins,Desmond Howard 27 yard pass from John Friesz (Chip Lohmiller kick),0,7
1,1.0,6:58,Seahawks,Chris Warren 12 yard rush (John Kasay kick),7,7
2,2.0,6:58,Seahawks,Terry Wooden 69 yard interception return (John Kasay kick),14,7
3,2.0,6:58,Seahawks,Brian Blades 5 yard pass from Rick Mirer (John Kasay kick),21,7
4,3.0,6:58,Seahawks,Chris Warren 4 yard rush (John Kasay kick),28,7
