,Quarter,Tm,Detail,NYJ,RAM
0,1.0,Rams,Cullen Bryant 12 yard pass from Vince Ferragamo (Frank Corral kick),0,7
1,1.0,Rams,Frank Corral 25 yard field goal,0,10
2,2.0,Jets,Pat Leahy 22 yard field goal,3,10
3,2.0,Jets,Pat Leahy 40 yard field goal,6,10
4,2.0,Rams,Billy Waddy 44 yard pass from Vince Ferragamo (Frank Corral kick),6,17
5,2.0,Jets,Lam Jones 35 yard pass from Richard Todd (Pat Leahy kick),13,17
6,2.0,Rams,Willie Miller 15 yard pass from Vince Ferragamo (Frank Corral kick),13,24
7,4.0,Rams,Mike Guman 4 yard rush (Frank Corral kick),13,31
8,4.0,Rams,Willie Miller 19 yard pass from Vince Ferragamo (Frank Corral kick),13,38
