,Quarter,Tm,Detail,TOR,FRN
0,1,Yellow Jackets,Ed Halicki 35 yard field goal,0,3
1,2,Yellow Jackets,Ken Mercer unknown yard pass from Wild Bill Kelly (Ken Mercer kick),0,10
