,Quarter,Tm,Detail,NOR,GNB
0,1.0,Packers,Eric Torkelson 8 yard rush,0,6
1,2.0,Saints,Rich Szaro 30 yard field goal,3,6
2,2.0,Saints,Rich Szaro 32 yard field goal,6,6
3,2.0,Saints,Jim Merlo 45 yard interception return (Rich Szaro kick),13,6
4,2.0,Packers,Rich McGeorge 20 yard pass from Lynn Dickey (Chester Marcol kick),13,13
5,2.0,Packers,Chester Marcol 38 yard field goal,13,16
6,3.0,Packers,Fred Carr 10 yard interception return (Chester Marcol kick),13,23
7,3.0,Saints,Tony Galbreath 1 yard rush (Rich Szaro kick),20,23
8,3.0,Saints,Mike Strachan 7 yard rush (Rich Szaro kick),27,23
9,4.0,Packers,Willard Harrell 2 yard rush (Chester Marcol kick),27,30
10,4.0,Packers,"Safety, New Orleans clip in end zone",27,32
