,Quarter,Tm,Detail,BAL,CIN
0,1.0,Bengals,Jim Breech 19 yard field goal,0,3
1,1.0,Colts,Alvin Moore 9 yard rush (Raul Allegre kick),7,3
2,1.0,Bengals,M.L. Harris 3 yard pass from Ken Anderson (Jim Breech kick),7,10
3,2.0,Bengals,Isaac Curtis 20 yard pass from Ken Anderson (Jim Breech kick),7,17
4,2.0,Colts,Randy McMillan 1 yard rush (Raul Allegre kick),14,17
5,2.0,Bengals,Ken Anderson 3 yard rush (Jim Breech kick),14,24
6,3.0,Colts,Randy McMillan 8 yard rush (Raul Allegre kick),21,24
7,3.0,Bengals,Cris Collinsworth 20 yard pass from Ken Anderson (Jim Breech kick),21,31
8,3.0,Colts,Raul Allegre 29 yard field goal,24,31
9,4.0,Colts,Raul Allegre 53 yard field goal,27,31
10,4.0,Colts,Curtis Dickey 3 yard rush (Raul Allegre kick),34,31
