,Quarter,Tm,Detail,DAL,PHO
0,1.0,Cowboys,Luis Zendejas 32 yard field goal,3,0
1,2.0,Cowboys,Luis Zendejas 29 yard field goal,6,0
2,2.0,Cardinals,Tim McDonald 53 yard interception return (Al Del Greco kick),6,7
3,2.0,Cowboys,Kelvin Martin 5 yard pass from Troy Aikman (Luis Zendejas kick),13,7
4,4.0,Cardinals,Al Del Greco 45 yard field goal,13,10
5,4.0,Cardinals,Ernie Jones 38 yard pass from Tom Tupa (Al Del Greco kick),13,17
6,4.0,Cowboys,James Dixon 75 yard pass from Troy Aikman (Luis Zendejas kick),20,17
7,4.0,Cardinals,Ernie Jones 72 yard pass from Tom Tupa (Al Del Greco kick),20,24
