,Quarter,Time,Tm,Detail,BAL,PIT
0,1,7:24,Ravens,Justin Tucker 27 yard field goal,3,0
1,1,4:54,Ravens,Mark Ingram 4 yard rush (Justin Tucker kick),10,0
2,1,2:50,Steelers,JuJu Smith-Schuster 35 yard pass from Mason Rudolph (Chris Boswell kick),10,7
3,2,11:26,Ravens,Marquise Brown 11 yard pass from Lamar Jackson (Justin Tucker kick),17,7
4,2,4:43,Steelers,Chris Boswell 41 yard field goal,17,10
5,2,0:03,Steelers,Chris Boswell 29 yard field goal,17,13
6,3,3:45,Steelers,James Conner 1 yard rush (Chris Boswell kick),17,20
7,4,11:42,Ravens,Justin Tucker 26 yard field goal,20,20
8,4,2:41,Steelers,Chris Boswell 33 yard field goal,20,23
9,4,0:14,Ravens,Justin Tucker 48 yard field goal,23,23
10,OT,5:31,Ravens,Justin Tucker 46 yard field goal,26,23
