,Quarter,Tm,Detail,NYJ,BOS
0,1.0,Jets,Jim Turner 16 yard field goal,3,0
1,2.0,Patriots,Ron Sellers 14 yard pass from Mike Taliaferro (Gino Cappelletti kick),3,7
2,2.0,Jets,Pete Lammons 10 yard pass from Joe Namath (Jim Turner kick),10,7
3,3.0,Jets,Joe Namath 4 yard rush (Jim Turner kick),17,7
4,3.0,Jets,Jim Turner 24 yard field goal,20,7
5,4.0,Jets,Jim Turner 13 yard field goal,23,7
6,4.0,Patriots,Jim Nance 4 yard rush (Gino Cappelletti kick),23,14
