,Quarter,Time,Tm,Detail,CAR,ATL
0,1.0,8:43,Falcons,Jason Snelling 9 yard pass from Matt Ryan (Matt Bryant kick),0,7
1,2.0,10:00,Falcons,Matt Bryant 42 yard field goal,0,10
2,2.0,7:57,Panthers,Melvin White interception in end zone (Graham Gano kick),7,10
3,2.0,0:19,Panthers,Ted Ginn Jr. 3 yard pass from Cam Newton (Graham Gano kick),14,10
4,3.0,9:50,Falcons,Roddy White 39 yard pass from Matt Ryan (Matt Bryant kick),14,17
5,3.0,4:20,Panthers,Greg Olsen 7 yard pass from Cam Newton (Graham Gano kick),21,17
6,4.0,7:10,Falcons,Matt Bryant 37 yard field goal,21,20
