,Quarter,Tm,Detail,DET,SFO
0,1.0,49ers,Tommy Davis 9 yard field goal,0,3
1,2.0,49ers,John Brodie 1 yard rush (Tommy Davis kick),0,10
2,2.0,Lions,Garo Yepremian 30 yard field goal,3,10
3,2.0,Lions,Amos Marsh 1 yard rush (Garo Yepremian kick),10,10
4,3.0,49ers,Tommy Davis 28 yard field goal,10,13
5,4.0,49ers,John David Crow 1 yard rush (Tommy Davis kick),10,20
6,4.0,Lions,Pat Studstill 73 yard pass from Karl Sweetan (Garo Yepremian kick),17,20
7,4.0,Lions,Jim Gibbons 2 yard pass from Karl Sweetan (Garo Yepremian kick),24,20
8,4.0,49ers,Monty Stickles 21 yard pass from John Brodie (Tommy Davis kick),24,27
