,Quarter,Time,Tm,Detail,MIA,BUF
0,1.0,,Dolphins,Pete Stoyanovich 40 yard field goal,3,0
1,2.0,,Bills,Thurman Thomas 1 yard rush (Steve Christie kick),3,7
2,3.0,0:27,Bills,Thurman Thomas 26 yard rush (Steve Christie kick),3,14
3,4.0,0:27,Bills,Kenneth Davis 5 yard rush (Steve Christie kick),3,21
4,4.0,0:27,Dolphins,O.J. McDuffie 3 yard pass from Dan Marino (Keith Jackson pass from Dan Marino),11,21
