,Quarter,Time,Tm,Detail,DAL,NWE
0,1.0,8:41,Patriots,Stephen Gostkowski 31 yard field goal,0,3
1,1.0,3:16,Cowboys,Dan Bailey 48 yard field goal,3,3
2,2.0,12:07,Patriots,Stephen Gostkowski 26 yard field goal,3,6
3,2.0,7:34,Patriots,Wes Welker 5 yard pass from Tom Brady (Stephen Gostkowski kick),3,13
4,2.0,0:33,Cowboys,Jason Witten 1 yard pass from Tony Romo (Dan Bailey kick),10,13
5,3.0,5:50,Cowboys,Dan Bailey 22 yard field goal,13,13
6,4.0,5:13,Cowboys,Dan Bailey 26 yard field goal,16,13
7,4.0,0:22,Patriots,Aaron Hernandez 8 yard pass from Tom Brady (Stephen Gostkowski kick),16,20
