,Quarter,Time,Tm,Detail,GNB,DAL
0,1.0,9:03,Packers,Aaron Jones 18 yard rush (Mason Crosby kick),7,0
1,1.0,0:07,Packers,Aaron Jones 3 yard rush (Mason Crosby kick),14,0
2,2.0,2:23,Packers,Mason Crosby 20 yard field goal,17,0
3,3.0,9:38,Packers,Aaron Jones 5 yard rush (Mason Crosby kick),24,0
4,3.0,5:58,Cowboys,Brett Maher 36 yard field goal,24,3
5,3.0,3:34,Packers,Aaron Jones 1 yard rush (Mason Crosby kick),31,3
6,3.0,2:09,Cowboys,Michael Gallup 40 yard pass from Dak Prescott (Brett Maher kick),31,10
7,4.0,13:56,Cowboys,Ezekiel Elliott 2 yard rush (Brett Maher kick),31,17
8,4.0,8:11,Packers,Mason Crosby 38 yard field goal,34,17
9,4.0,7:56,Cowboys,Amari Cooper 53 yard pass from Dak Prescott (Brett Maher kick),34,24
