,Quarter,Time,Tm,Detail,CIN,JAX
0,1.0,9:35,Jaguars,Maurice Jones-Drew 6 yard rush (Josh Scobee kick),0,7
1,1.0,3:17,Bengals,A.J. Green 37 yard pass from Andy Dalton (Mike Nugent kick),7,7
2,2.0,12:01,Jaguars,Josh Scobee 19 yard field goal,7,10
3,2.0,7:06,Jaguars,Josh Scobee 20 yard field goal,7,13
4,2.0,0:14,Bengals,Jermaine Gresham 3 yard pass from Andy Dalton (Mike Nugent kick failed),13,13
5,4.0,9:41,Bengals,Mike Nugent 47 yard field goal,16,13
6,4.0,8:24,Jaguars,Jason Hill 74 yard pass from Blaine Gabbert (Josh Scobee kick),16,20
7,4.0,1:56,Bengals,Bernard Scott 2 yard rush (Mike Nugent kick),23,20
8,4.0,0:00,Bengals,Geno Atkins 10 yard defensive fumble return (Mike Nugent kick),30,20
