,Quarter,Tm,Detail,RAM,NYY
0,1.0,Rams,Elroy Hirsch 36 yard pass from Bob Waterfield (Bob Waterfield kick),7,0
1,2.0,Yanks,George Ratterman 2 yard rush (Chet Adams kick),7,7
2,2.0,Rams,Glenn Davis 18 yard rush,13,7
3,2.0,Rams,Bob Waterfield 37 yard field goal,16,7
4,3.0,Yanks,Sherman Howard 5 yard pass from George Ratterman (Chet Adams kick),16,14
5,3.0,Rams,Dick Hoerner 32 yard rush (Bob Waterfield kick),23,14
6,3.0,Rams,Bob Waterfield 31 yard field goal,26,14
7,4.0,Rams,Dick Hoerner 1 yard rush (Bob Waterfield kick),33,14
8,4.0,Yanks,Bruce Alford fumble recovery in end zone (Chet Adams kick),33,21
9,4.0,Rams,Dick Hoerner 64 yard rush (Bob Waterfield kick),40,21
10,4.0,Yanks,Dan Edwards 16 yard pass from George Ratterman (Chet Adams kick),40,28
11,4.0,Yanks,Art Weiner 50 yard pass from George Taliaferro (Chet Adams kick),40,35
12,4.0,Rams,Bob Waterfield 30 yard field goal,43,35
