,Quarter,Tm,Detail,BKN,PIT
0,1,Dodgers,Wayland Becker unknown yard pass from Red Franklin (Ralph Kercheval kick),7,0
1,2,Dodgers,Bud Hubbard 56 yard pass from Ralph Kercheval,13,0
2,3,Pirates,Buzz Wetzel 1 yard rush (Armand Niccolai kick),13,7
