,Quarter,Tm,Detail,DAL,STL
0,1.0,Cowboys,Mike Sherrard 39 yard pass from Danny White (Rafael Septien kick),7,0
1,2.0,Cowboys,Rafael Septien 32 yard field goal,10,0
2,3.0,Cardinals,Ottis Anderson 10 yard rush (John Lee kick),10,7
3,3.0,Cowboys,Tony Hill 13 yard pass from Danny White (Rafael Septien kick),17,7
4,4.0,Cowboys,Herschel Walker 8 yard pass from Danny White (Rafael Septien kick),24,7
5,4.0,Cowboys,Ron Fellows 34 yard interception return (Rafael Septien kick),31,7
