,Quarter,Time,Tm,Detail,NWE,MIA
0,1.0,9:01,Dolphins,Cody Parkey 30 yard field goal,0,3
1,1.0,3:49,Dolphins,Cody Parkey 44 yard field goal,0,6
2,2.0,6:18,Patriots,Rex Burkhead 3 yard rush (Stephen Gostkowski kick),7,6
3,2.0,3:33,Dolphins,Jarvis Landry 5 yard pass from Jay Cutler (Cody Parkey kick),7,13
4,2.0,0:02,Patriots,Stephen Gostkowski 46 yard field goal,10,13
5,3.0,11:03,Dolphins,Jakeem Grant 25 yard pass from Jay Cutler (Cody Parkey kick),10,20
6,3.0,4:43,Dolphins,Jarvis Landry 4 yard pass from Jay Cutler (Cody Parkey kick),10,27
7,4.0,13:05,Patriots,James White 3 yard pass from Tom Brady (Stephen Gostkowski kick),17,27
8,4.0,0:53,Patriots,Stephen Gostkowski 33 yard field goal,20,27
